oem,model,battery_charging,platform_cpu,platform_gpu,body_sim,network_technology,display_type,main_camera_video,selfie_camera_video,body_weight,display_resolution,display_size,sound_3.5mm_jack,platform_os,platform_chipset,memory,ram,removability,battery_capacity,misc_price
Google,Pixel 4 XL,18,8,Adreno 640,Mini-SIM,LTE,P-OLED,4K,1080p,193,1440 x 3040 ,6.3,No,Android,Qualcomm SM8150 Snapdragon 855,64,6,Non-removable,3700,479.99
Google,Pixel 4,18,8,Adreno 640,Mini-SIM,LTE,P-OLED,4K,1080p,162,1080 x 2280 ,5.7,No,Android,Qualcomm SM8150 Snapdragon 855,64,6,Non-removable,2800,524.52
Google,Pixel 3a XL,18,8,Adreno 615,Mini-SIM,LTE,OLED,4K,1080p,167,1080 x 2160 ,6,Yes,Android,Qualcomm SDM670 Snapdragon 670,64,4,Non-removable,3700,261.6
Google,Pixel 3a,18,8,Adreno 615,Mini-SIM,LTE,OLED,4K,1080p,147,1080 x 2220 ,5.6,Yes,Android,Qualcomm SDM670 Snapdragon 670,64,4,Non-removable,3000,212.16
Huawei,Enjoy 20 Pro,22.5,8,Mali-G57,Nano-SIM card & eSIM,5G,IPS LCD,4K,1080p,192,1080 x 2400 ,6.5,Yes,Android,MediaTek MT6873V Dimensity 800 5G,128,6,Non-removable,4000,250
Huawei,Enjoy Z 5G,22.5,8,Mali-G57,Nano-SIM card & eSIM,5G,IPS LCD,4K,1080p,182,1080 x 2400 ,6.5,Yes,Android,MediaTek MT6873V Dimensity 800 5G,64,6,Non-removable,4000,220
Huawei,P Smart S,10,8,Mali-G51,"Nano-SIM, eSIM",LTE,OLED,1080p,1080p,163,1080 x 2400 ,6.3,Yes,Android,Kirin 710F,128,4,Non-removable,4000,260
Huawei,Y8p,10,8,Mali-G51,Nano-SIM,LTE,OLED,1080p,1080p,163,1080 x 2400 ,6.3,Yes,Android,Kirin 710F,128,4,Non-removable,4000,240
Huawei,P40 lite 5G,40,8,Mali-G57,Mini-SIM,5G,LTPS IPS LCD,4K,1080p,189,1080 x 2400 ,6.5,Yes,Android,Kirin 820 5G,128,6,Non-removable,4000,369.95
Huawei,P30 Pro New Edition,40,8,Mali-G76,Mini-SIM,LTE,OLED,4K,1080p,192,1080 x 2340 ,6.47,No,Android,Kirin 980,256,8,Non-removable,4200,743.24
Huawei,Y8s,10,8,Mali-G51,Mini-SIM,LTE,IPS LCD,1080p,1080p,180,1080 x 2340 ,6.5,Yes,Android,Kirin 710,64,4,Non-removable,4000,140
Huawei,Y6p,10,8,PowerVR GE8320,Mini-SIM,LTE,IPS LCD,1080p,1080p,185,720 x 1600 ,6.3,Yes,Android,Mediatek MT6762R Helio P22,32,3,Non-removable,5000,128.42
Huawei,Y5p,21.82167235,8,PowerVR GE8320,Mini-SIM,LTE,IPS LCD,1080p,1080p,144,720 x 1440 ,5.45,Yes,Android,Mediatek MT6762R Helio P22,32,2,Non-removable,3020,84.9
Huawei,P smart 2020,10,8,Mali-G51,Mini-SIM,LTE,LTPS IPS LCD,1080p,1080p,160,1080 x 2340 ,6.21,Yes,Android,Kirin 710,128,4,Non-removable,3400,179.99
Huawei,nova 7 Pro 5G,40,8,Mali-G77,Mini-SIM,5G,OLED,4K,4K,178,1080 x 2340 ,6.57,No,Android,Kirin 985 5G,128,8,Non-removable,4000,552.79
Huawei,nova 7 5G,40,8,Mali-G77,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)",5G,OLED,4K,4K,180,1080 x 2400 ,6.53,No,Android,Kirin 985 5G,128,8,Non-removable,4000,454.39
